Date,Demanded_Gas
1/1/2005,5176.015177
2/1/2005,5258.329481
3/1/2005,4971.29098
4/1/2005,4934.576367
5/1/2005,5160.325519
6/1/2005,5404.298645
7/1/2005,5129.745362
8/1/2005,5215.837564
9/1/2005,5035.884792
10/1/2005,4968.441886
11/1/2005,4911.472977
12/1/2005,4897.944911
1/1/2006,5093.393205
2/1/2006,5309.308523
3/1/2006,5429.846531
4/1/2006,5519.012918
5/1/2006,5803.212782
6/1/2006,5953.746524
7/1/2006,6025.457431
8/1/2006,5984.674369
9/1/2006,5837.792548
10/1/2006,5867.907361
11/1/2006,5637.330559
12/1/2006,5585.733137
1/1/2007,5801.336006
2/1/2007,5624.3101
3/1/2007,5800.072549
4/1/2007,5595.734973
5/1/2007,6014.566924
6/1/2007,6140.051724
7/1/2007,6036.443289
8/1/2007,5986.664255
9/1/2007,5805.418365
10/1/2007,6194.432732
11/1/2007,6051.10316
12/1/2007,6026.940067
1/1/2008,6355.878027
2/1/2008,6368.429613
3/1/2008,6168.725046
4/1/2008,6193.126441
5/1/2008,6147.450792
6/1/2008,6190.317141
7/1/2008,6185.090848
8/1/2008,6154.414586
9/1/2008,5959.943373
10/1/2008,5991.659744
11/1/2008,5872.990209
12/1/2008,5739.211216
1/1/2009,5745.540732
2/1/2009,5818.45982
3/1/2009,5998.731536
4/1/2009,5952.38232
5/1/2009,6078.838538
6/1/2009,6282.619301
7/1/2009,6321.088625
8/1/2009,6343.132174
9/1/2009,6360.714894
10/1/2009,6041.401119
11/1/2009,6142.382688
12/1/2009,6145.645004
1/1/2010,6229.913515
2/1/2010,6181.773064
3/1/2010,6194.51719
4/1/2010,6328.745767
5/1/2010,6528.561698
6/1/2010,6638.975849
7/1/2010,6527.64163
8/1/2010,6459.228431
9/1/2010,6214.493997
10/1/2010,6202.096382
11/1/2010,6275.245393
12/1/2010,6296.795179
1/1/2011,6426.65333
2/1/2011,6522.881441
3/1/2011,6507.198826
4/1/2011,6502.283344
5/1/2011,6645.417721
6/1/2011,6739.082578
7/1/2011,6666.594123
8/1/2011,6582.622525
9/1/2011,6434.059461
10/1/2011,6430.845646
11/1/2011,6310.527224
12/1/2011,6377.571309
1/1/2012,6567.769174
2/1/2012,6506.336023
3/1/2012,6577.55578
4/1/2012,6451.822338
5/1/2012,6786.096324
6/1/2012,6933.167822
7/1/2012,6830.155971
8/1/2012,7008.62812
9/1/2012,6872.148374
10/1/2012,6592.472946
11/1/2012,6629.748125
12/1/2012,6379.834196
1/1/2013,6821.542388
2/1/2013,6807.754885
3/1/2013,6725.528919
4/1/2013,6774.418284
5/1/2013,6921.932264
6/1/2013,7072.616638
7/1/2013,7249.19766
8/1/2013,7323.702881
9/1/2013,7210.496069
10/1/2013,7054.811145
11/1/2013,6815.23479
12/1/2013,6639.025647
1/1/2014,6949.468786
2/1/2014,7022.78978
3/1/2014,7104.55985
4/1/2014,7210.5475
5/1/2014,7224.042155
6/1/2014,7313.081942
7/1/2014,7151.000845
8/1/2014,7420.73932
9/1/2014,7588.048586
10/1/2014,7448.609179
11/1/2014,7114.245611
12/1/2014,6959.337195
1/1/2015,7432.102322
2/1/2015,7549.193277
3/1/2015,7419.950407
4/1/2015,7014.875798
5/1/2015,7318.808214
6/1/2015,7488.330376
7/1/2015,7859.643923
8/1/2015,7647.103963
9/1/2015,7753.503224
10/1/2015,7591.208149
11/1/2015,7341.58817
12/1/2015,7623.660526
1/1/2016,7405.5241
2/1/2016,7322.125571
3/1/2016,7399.056455
4/1/2016,7525.458645
5/1/2016,7397.002815
6/1/2016,7908.937722
7/1/2016,7956.342803
8/1/2016,7998.659455
9/1/2016,7801.934019
10/1/2016,7884.362682
11/1/2016,7610.507655
12/1/2016,7206.936321
1/1/2017,7200.940884
2/1/2017,7424.360817
3/1/2017,7343.823115
4/1/2017,7242.605444
5/1/2017,7584.306114
6/1/2017,7704.253622
7/1/2017,8258.792122
8/1/2017,8117.698166
9/1/2017,7815.980454
10/1/2017,7479.946698
11/1/2017,7591.884724
12/1/2017,7557.5651
1/1/2018,7619.473803
2/1/2018,7728.298659
3/1/2018,7840.539725
4/1/2018,7739.62148
5/1/2018,7837.588351
6/1/2018,8030.168934
7/1/2018,8292.540515
8/1/2018,8267.545071
9/1/2018,8209.948756
10/1/2018,8055.881131
11/1/2018,8052.300743
12/1/2018,7927.429603
1/1/2019,7902.343353
2/1/2019,8122.600086
3/1/2019,8166.414421
4/1/2019,8053.87556
5/1/2019,8235.742673
6/1/2019,8628.299043
7/1/2019,8993.919146
8/1/2019,8934.896355
9/1/2019,9058.402445
10/1/2019,7282.113417
11/1/2019,7390.661095
12/1/2019,7144.195576
1/1/2020,7831.583362
2/1/2020,N/D
3/1/2020,7938.294659
4/1/2020,7928.92385
5/1/2020,7967.006841
6/1/2020,8878.389131
7/1/2020,10265.42172
8/1/2020,8068.434189
9/1/2020,9279.518924
10/1/2020,7290.056104
11/1/2020,7395.813825
12/1/2020,7245.57689
1/1/2021,7438.80863
2/1/2021,7132.970704
3/1/2021,8497.784582
4/1/2021,7757.688488
5/1/2021,8305.15759
6/1/2021,9316.100385
7/1/2021,9255.921204
8/1/2021,8464.915269
9/1/2021,8176.695981
10/1/2021,8204.940918
11/1/2021,7668.455575
12/1/2021,8227.621664
1/1/2022,9939.357686
2/1/2022,9332.099087
3/1/2022,11651.01613
4/1/2022,9076.940739
5/1/2022,9651.249634
6/1/2022,9921.191106
7/1/2022,10744.55814
8/1/2022,10534.83514
9/1/2022,9104.873654
